flood_id,start_date,end_date,duration,total_rainfall,max_rainfall
113,2002-07-03,2002-07-03,1,19.74821,19.74821
114,2002-07-29,2002-07-29,1,14.849186,14.849186
115,2002-08-01,2002-08-01,1,34.044266,34.044266
116,2002-08-06,2002-08-06,1,16.735554,16.735554
117,2002-08-17,2002-08-17,1,12.832642,12.832642
118,2002-08-21,2002-08-21,1,19.692898,19.692898
119,2002-08-27,2002-08-27,1,48.10381,48.10381
120,2002-08-30,2002-08-30,1,42.89341,42.89341
121,2002-09-04,2002-09-04,1,34.8773,34.8773
122,2002-09-07,2002-09-07,1,31.550407,31.550407
123,2002-09-10,2002-09-10,1,14.513969,14.513969
124,2003-03-23,2003-03-23,1,33.969402,33.969402
125,2003-05-19,2003-05-19,1,17.219543,17.219543
126,2003-05-22,2003-05-22,1,15.331268,15.331268
127,2003-05-27,2003-05-29,3,58.825492000000004,30.754566
128,2003-06-02,2003-06-02,1,17.534733,17.534733
129,2003-06-20,2003-06-20,1,11.371613,11.371613
130,2003-06-26,2003-06-26,1,70.81842,70.81842
131,2003-06-29,2003-06-29,1,14.9827,14.9827
132,2003-07-14,2003-07-14,1,15.974522,15.974522
133,2003-08-06,2003-08-06,1,13.061523,13.061523
134,2003-08-11,2003-08-12,2,152.008529,130.41162
135,2003-08-14,2003-08-14,1,33.845425,33.845425
136,2003-08-20,2003-08-21,2,94.047073,82.73125
137,2003-08-23,2003-08-24,2,46.060083999999996,32.94134
138,2003-08-30,2003-09-01,3,74.49722299999999,37.203312
139,2003-09-03,2003-09-03,1,13.150215,13.150215
140,2003-09-07,2003-09-07,1,18.303394,18.303394
141,2003-09-13,2003-09-13,1,18.129826,18.129826
142,2003-09-20,2003-09-20,1,15.737534,15.737534
143,2004-03-02,2004-03-02,1,12.417793,12.417793
144,2004-03-30,2004-03-30,1,14.3761635,14.3761635
145,2004-04-26,2004-04-26,1,16.584396,16.584396
146,2004-05-05,2004-05-05,1,19.311428,19.311428
147,2004-07-06,2004-07-06,1,13.344288,13.344288
148,2004-07-11,2004-07-11,1,26.794434,26.794434
149,2004-07-14,2004-07-14,1,15.087128,15.087128
150,2004-07-25,2004-07-25,1,15.202522,15.202522
151,2004-07-29,2004-07-29,1,11.576176,11.576176
152,2004-07-31,2004-07-31,1,13.062954,13.062954
153,2004-08-06,2004-08-06,1,11.2195015,11.2195015
154,2004-08-11,2004-08-11,1,14.340401,14.340401
155,2004-08-20,2004-08-20,1,31.2953,31.2953
156,2004-08-26,2004-08-26,1,22.211552,22.211552
157,2004-09-12,2004-09-12,1,11.613846,11.613846
158,2004-09-30,2004-09-30,1,14.985561,14.985561
159,2004-11-02,2004-11-02,1,25.348663,25.348663
160,2005-03-13,2005-03-13,1,20.095825,20.095825
161,2005-05-04,2005-05-04,1,12.369633,12.369633
162,2005-05-30,2005-05-30,1,16.584873,16.584873
163,2005-06-13,2005-06-13,1,14.509678,14.509678
164,2005-07-09,2005-07-11,3,41.734218,15.849113
165,2005-07-15,2005-07-15,1,15.686035,15.686035
166,2005-07-19,2005-07-19,1,13.284206,13.284206
167,2005-08-05,2005-08-05,1,12.461185,12.461185
168,2005-08-13,2005-08-14,2,56.989669500000005,41.445255
169,2005-08-16,2005-08-17,2,34.04522,20.81728
170,2005-08-26,2005-08-27,2,35.606385,22.021294
171,2005-09-02,2005-09-02,1,48.70653,48.70653
172,2005-09-06,2005-09-06,1,19.564629,19.564629
173,2005-09-24,2005-09-25,2,28.740883,14.772415
174,2006-06-11,2006-06-11,1,23.513317,23.513317
175,2006-07-15,2006-07-15,1,18.516064,18.516064
176,2006-07-20,2006-07-20,1,25.671005,25.671005
177,2006-07-22,2006-07-22,1,19.512177,19.512177
178,2006-08-01,2006-08-01,1,12.155533,12.155533
179,2006-08-11,2006-08-12,2,28.146743,15.849113
180,2006-08-14,2006-08-14,1,19.37437,19.37437
181,2006-08-27,2006-08-27,1,11.231422,11.231422
182,2006-09-09,2006-09-09,1,28.842926,28.842926
183,2006-09-13,2006-09-13,1,26.541233,26.541233
184,2006-09-23,2006-09-23,1,11.098385,11.098385
185,2007-04-22,2007-04-22,1,12.747765,12.747765
186,2007-04-27,2007-04-27,1,18.430233,18.430233
187,2007-07-17,2007-07-18,2,47.571182,26.172161
188,2007-07-23,2007-07-23,1,15.335083,15.335083
189,2007-07-26,2007-07-26,1,18.337727,18.337727
190,2007-07-29,2007-07-29,1,13.015747,13.015747
191,2007-08-03,2007-08-03,1,11.8198395,11.8198395
192,2007-08-09,2007-08-09,1,22.574902,22.574902
193,2007-08-14,2007-08-14,1,42.138577,42.138577
194,2007-08-21,2007-08-21,1,12.784481,12.784481
195,2007-08-24,2007-08-26,3,58.311462,33.062458
196,2007-08-28,2007-08-28,1,14.704227,14.704227
197,2007-09-01,2007-09-01,1,13.132572,13.132572
198,2007-09-05,2007-09-07,3,38.87558,13.576031
199,2007-09-10,2007-09-10,1,16.769886,16.769886
200,2007-09-19,2007-09-19,1,15.716076,15.716076
201,2007-09-26,2007-09-26,1,11.404991,11.404991
202,2008-03-12,2008-03-12,1,13.345718,13.345718
203,2008-05-12,2008-05-13,2,23.774147,12.666702
204,2008-06-03,2008-06-03,1,15.265465,15.265465
205,2008-06-23,2008-06-25,3,54.13723,19.768238
206,2008-06-29,2008-06-29,1,14.068127,14.068127
207,2008-07-12,2008-07-12,1,19.665718,19.665718
208,2008-07-15,2008-07-16,2,41.568756,28.247356
209,2008-07-19,2008-07-19,1,15.560627,15.560627
210,2008-08-22,2008-08-23,2,44.658184,26.36385
211,2008-08-26,2008-08-26,1,18.897533,18.897533
212,2008-08-28,2008-08-29,2,57.544230999999996,45.746803
213,2008-09-02,2008-09-02,1,11.390209,11.390209
214,2008-09-14,2008-09-16,3,49.763203000000004,19.961834
215,2008-10-01,2008-10-01,1,23.640156,23.640156
216,2008-10-10,2008-10-11,2,35.816193,19.695759
217,2009-07-09,2009-07-09,1,11.340141,11.340141
218,2009-07-17,2009-07-17,1,11.425495,11.425495
219,2009-07-21,2009-07-21,1,18.96,18.96
220,2009-07-31,2009-07-31,1,27.031898,27.031898
221,2009-08-04,2009-08-04,1,14.424801,14.424801
222,2009-08-13,2009-08-14,2,48.006535,31.749249
223,2009-08-18,2009-08-18,1,26.538372,26.538372
224,2009-08-23,2009-08-23,1,13.64851,13.64851
